Total distinct words:2580

	Word  Count
 ascent      1
 ascend      1
 arrows      1
  arrow      1
arrogates      1
 armour      1
 arisen      1
 attend      1
 aright      1
arguments      1
arguest      1
 argued      1
arduous      1
ardours      1
 arctic      1
architect      1
   arab      1
aquinum      1
approval      1
approachd      1
approach      1
  atond      1
attract      1
apprehends      1
   bank      1
	bed      1
 beauty      1
beatrices      1
 beasts      1
  beast      1
bearers      1
   base      1
  barrd      1
  barkd      1
   bari      1
   bard      1
	bar      1
 banner      1
  bands      1
attributes      1
   band      1
   bale      1
balance      1
backward      1
	aye      1
	awe      1
awarping      1
 avouch      1
 averse      1
	ave      1
 author      1
ausonia      1
augustin      1
apprehension      1
apprehending      1
bedeckd      1
addressd      1
agapete      1
afflation      1
affirms      1
affections      1
adventrous      1
adultrous      1
 adorns      1
  adord      1
admitted      1
admiring      1
admiration      1
  adice      1
addressed      1
  adder      1
   aged      1
adamant      1
   acts      1
acquird      1
achievd      1
 accusd      1
accruing      1
account      1
accords      1
accompanied      1
acceptance      1
  abyss      1
absorbd      1
absolve      1
	age      1
   airy      1
apprehend      1
ancient      1
appointed      1
  apply      1
appetite      1
appellation      1
anxious      1
anticipative      1
antandros      1
answered      1
anothers      1
animals      1
 animal      1
angelical      1
   anew      1
amplitude      1
   alas      1
amorous      1
amongst      1
  amiss      1
   amid      1
although      1
  alter      1
 alpine      1
  aloft      1
allowed      1
aliment      1
alcmaeon      1
 albert      1
   alba      1
   bede      1
befalls      1
colchos      1
  canst      1
chances      1
certainly      1
certain      1
 centre      1
ceasing      1
  ceasd      1
  causd      1
 caught      1
catalonia      1
  casts      1
cassius      1
carried      1
cardinals      1
cancelld      1
charged      1
calleth      1
   cain      1
cagnano      1
caesars      1
 busied      1
   burn      1
 burden      1
 brutus      1
brought      1
brothers      1
  brook      1
  brood      1
bringst      1
chanting      1
charitable      1
  bring      1
circuitous      1
coffers      1
  coast      1
cloisters      1
  clock      1
climate      1
cleopatra      1
clemenza      1
clearliest      1
clearing      1
cleanse      1
claritate      1
 claims      1
cirrhaean      1
circled      1
charlemagne      1
cincturd      1
cieldauro      1
christians      1
christian      1
  chose      1
choicest      1
childish      1
  child      1
 chiefs      1
  cheer      1
  cheek      1
 charms      1
 charmd      1
 brings      1
  brine      1
  begga      1
bending      1
blackness      1
  black      1
bituminous      1
 bitter      1
  birth      1
   bird      1
  binds      1
bickring      1
bewilderd      1
bethink      1
bestowd      1
berenger      1
 benign      1
  bench      1
blameless      1
  belus      1
 belovd      1
belisarius      1
believst      1
believing      1
believes      1
behooved      1
behoovd      1
beholdest      1
beguiled      1
beginning      1
  begin      1
begging      1
  blame      1
  blank      1
brightning      1
 borrow      1
bridegrooms      1
bridegroom      1
 brenta      1
brennus      1
breathe      1
 breath      1
 breaks      1
 braver      1
brancheth      1
  brake      1
 bounds      1
 bosoms      1
borrowd      1
boroughs      1
  blaze      1
   bore      1
   boon      1
   bold      1
boiling      1
  board      1
blossoms      1
  bloom      1
blindly      1
  blind      1
   blew      1
blessedness      1
blended      1
blazeth      1
exculpate      1
excusable      1
  exild      1
   lets      1
lingring      1
 linger      1
lineaments      1
lineage      1
   line      1
 limits      1
 lilies      1
 lilied      1
lighteth      1
lighter      1
 lifted      1
  liege      1
  level      1
   lent      1
   lips      1
	led      1
leaving      1
learning      1
leapeth      1
  leapd      1
leanness      1
   lean      1
 league      1
   lays      1
	lay      1
lavinias      1
laurence      1
 laurel      1
   lion      1
listning      1
laughing      1
 losing      1
malahoth      1
  makst      1
 mainly      1
magnificent      1
 macras      1
lustrous      1
   lust      1
  lunar      1
luminary      1
lucrece      1
  lovst      1
 loving      1
 lovdst      1
   lose      1
  lists      1
   lore      1
lording      1
   lord      1
 looses      1
loosend      1
 lookst      1
looking      1
lombard      1
  loire      1
  locks      1
  lives      1
liveliness      1
   live      1
laughter      1
latonas      1
 maltas      1
 issued      1
joining      1
   john      1
   jews      1
 jewels      1
  jewel      1
	jew      1
jephthah      1
  jason      1
	jar      1
  janus      1
  jacob      1
italian      1
 issues      1
  issue      1
  joves      1
israelites      1
isidore      1
 iseres      1
   iron      1
	ire      1
iphigenia      1
   iole      1
invocation      1
invites      1
invisible      1
introducd      1
intently      1
intelligibly      1
 joshua      1
joyance      1
 lastly      1
  kings      1
  lashd      1
largeliest      1
  large      1
  lapse      1
language      1
   lamp      1
   lair      1
 ladies      1
 ladder      1
  lackd      1
 labour      1
   knit      1
   knew      1
  kinds      1
joyously      1
 kindle      1
   kick      1
   kept      1
  keeps      1
keeping      1
 keener      1
   keen      1
   keel      1
justinian      1
judgments      1
  judge      1
   juba      1
   joys      1
 mallet      1
manifest      1
  exile      1
obeying      1
offending      1
oerwhelmd      1
oerspread      1
oerruling      1
oerpassd      1
oercome      1
oercame      1
obvious      1
observe      1
obscurd      1
oblivion      1
oblique      1
oblation      1
nutrition      1
  offer      1
numberless      1
nothing      1
   note      1
  notch      1
noncompliance      1
nobility      1
   nine      1
   nile      1
  night      1
newrisn      1
newness      1
  newly      1
newcrownd      1
offends      1
offering      1
   neck      1
overladen      1
   pang      1
   palm      1
 pallas      1
palermo      1
   pale      1
   pair      1
painted      1
   pain      1
 paduas      1
pachynian      1
   owns      1
overruld      1
overpowerd      1
overeagerness      1
 offers      1
outward      1
outstretchd      1
outspread      1
  ought      1
 organs      1
 orders      1
ordains      1
opposite      1
 oppose      1
operations      1
	opd      1
omnipotent      1
ofttimes      1
 nether      1
necessity      1
 manner      1
meaning      1
methods      1
 method      1
  merit      1
meridian      1
mercury      1
members      1
melchisidec      1
  meets      1
