Processing Time:28.9998054504 msec.
Total injuries and fatalities associated with each motor collision record:
Wall time: 29 ms
+----------+--------------------+-----------------+
|UNIQUE_KEY|All_Fatalities_Count|All_Injured_Count|
|3438951   |0                   |2                |
|3437717   |0                   |0                |
|3438472   |0                   |0                |
|3438228   |0                   |0                |
|3441273   |0                   |0                |
|3438565   |0                   |0                |
|3436767   |0                   |0                |
|3597584   |0                   |2                |
|3580824   |0                   |3                |
|3436761   |0                   |0                |
|3526520   |0                   |0                |
|3527941   |0                   |0                |
|3526079   |0                   |3                |
|3526396   |0                   |4                |
|3525474   |0                   |0                |
|3510964   |0                   |0                |
|3512369   |0                   |0                |
|3510833   |0                   |0                |
|3510498   |0                   |0                |
|3523185   |0                   |0                |
|3282791   |0                   |0                |
|3515613   |0                   |3                |
|3510587   |0                   |6                |
|3558074   |0                   |2                |
|3556926   |0                   |2                |
|3556763   |0                   |2                |
|3556323   |0                   |2                |
|3558106   |0                   |2                |
|3550235   |0                   |0                |
|3438324   |0                   |0                |
|3436629   |0                   |2                |
|3437668   |0                   |0                |
|3439158   |0                   |0                |
|3439214   |0                   |0                |
|3437385   |0                   |0                |
|3281366   |0                   |2                |
|3525991   |0                   |0                |
|3528730   |0                   |0                |
|3528122   |0                   |0                |
|3526743   |0                   |0                |
|3528327   |0                   |0                |
|3528500   |0                   |0                |
|3528711   |0                   |0                |
|3561845   |0                   |2                |
|3526806   |0                   |3                |
|3529054   |0                   |2                |
|3526050   |0                   |2                |
|3521090   |0                   |0                |
|3556854   |0                   |0                |
|3556430   |0                   |0                |
|3556878   |0                   |0                |
|3556649   |0                   |0                |
|3556370   |0                   |0                |
|3527044   |0                   |2                |
|3527154   |0                   |2                |
|3436768   |0                   |2                |
|3437093   |0                   |0                |
|3436972   |0                   |0                |
|3438751   |0                   |0                |
|3288541   |0                   |0                |
|3438521   |0                   |12               |
|3456216   |0                   |0                |
|3597580   |0                   |0                |
|3598771   |0                   |0                |
|3598650   |0                   |0                |
|3598410   |0                   |0                |
|3598267   |0                   |2                |
|3440327   |0                   |0                |
|3552962   |0                   |0                |
|3437474   |0                   |2                |
|3439996   |0                   |2                |
|3436756   |0                   |4                |
|3438622   |0                   |2                |
|3439781   |0                   |0                |
|3436956   |0                   |2                |
|3447759   |0                   |0                |
|3437387   |0                   |0                |
|3437725   |0                   |24               |
|3439129   |0                   |0                |
|3438943   |0                   |0                |
|3437543   |0                   |4                |
|3439316   |0                   |4                |
|3440101   |0                   |6                |
|3440104   |0                   |0                |
|3438766   |0                   |0                |
|3438155   |0                   |0                |
|3438334   |0                   |0                |
|3511398   |0                   |0                |
|3519181   |0                   |0                |
|3510248   |0                   |0                |
